date,home_team,away_team,home_team_score,away_team_score,country,neutral_location,shoot_out,home_team_result,home_team_mean_defense_score,home_team_mean_offense_score,away_team_mean_defense_score,away_team_mean_offense_score
9/1/2004,Saudi Arabia,Kuwait,1.00,1.00,Saudi Arabia,False,No,Draw,,,,
9/2/2004,Bahrain,Palestine,1.00,0.00,Bahrain,False,No,Win,,,,
9/3/2004,Libya,Benin,4.00,1.00,Libya,False,No,Win,,,,
9/3/2004,Maldives,Oman,1.00,2.00,Maldives,False,No,Lose,,,,
9/3/2004,Netherlands,Liechtenstein,3.00,0.00,Netherlands,False,No,Win,85.00,93.00,,
9/3/2004,Spain,Scotland,1.00,1.00,Spain,False,No,Draw,86.50,89.30,80.20,79.70
9/4/2004,Albania,Greece,2.00,1.00,Albania,False,No,Win,,59.00,82.80,83.70
9/4/2004,Austria,England,2.00,2.00,Austria,False,No,Draw,76.20,73.00,90.50,88.70
9/4/2004,Azerbaijan,Wales,1.00,1.00,Azerbaijan,False,No,Draw,,,71.50,79.30
9/4/2004,Belgium,Lithuania,1.00,1.00,Belgium,False,No,Draw,81.00,78.00,63.00,
9/4/2004,Burkina Faso,Uganda,2.00,0.00,Burkina Faso,False,No,Win,58.80,65.30,,
9/4/2004,Canada,Honduras,1.00,1.00,Canada,False,No,Draw,71.80,73.70,,
9/4/2004,Croatia,Hungary,3.00,0.00,Croatia,False,No,Win,80.50,78.70,71.80,75.70
9/4/2004,Denmark,Ukraine,1.00,1.00,Denmark,False,No,Draw,79.50,85.00,,81.70
9/4/2004,Estonia,Luxembourg,4.00,0.00,Estonia,False,No,Win,,,,
9/4/2004,Finland,Andorra,3.00,0.00,Finland,False,No,Win,77.00,78.30,,
9/4/2004,France,Israel,0.00,0.00,France,False,No,Draw,88.00,93.00,,
9/4/2004,Iceland,Bulgaria,1.00,3.00,Iceland,False,No,Lose,68.80,77.00,70.50,79.70
9/4/2004,Republic of Ireland,Cyprus,3.00,0.00,Republic of Ireland,False,No,Win,79.20,78.00,,73.70
9/4/2004,Italy,Norway,2.00,1.00,Italy,False,No,Win,91.80,92.30,79.20,81.30
9/4/2004,Jamaica,Panama,1.00,2.00,Jamaica,False,No,Lose,69.20,77.30,,
9/4/2004,Kenya,Malawi,3.00,2.00,Kenya,False,No,Win,,,,
9/4/2004,Latvia,Portugal,0.00,2.00,Latvia,False,No,Lose,,,86.80,84.30
9/4/2004,Malta,Sweden,0.00,7.00,Malta,False,No,Lose,,,79.50,83.30
9/4/2004,Morocco,Tunisia,1.00,1.00,Morocco,False,No,Draw,75.20,73.70,67.50,71.00
9/4/2004,Northern Ireland,Poland,0.00,3.00,Northern Ireland,False,No,Lose,71.80,65.70,78.00,80.30
9/4/2004,Peru,Argentina,1.00,3.00,Peru,False,No,Lose,,73.70,87.00,87.00
9/4/2004,Romania,North Macedonia,2.00,1.00,Romania,False,No,Win,77.50,79.00,,
9/4/2004,Russia,Slovakia,1.00,1.00,Russia,False,No,Draw,75.50,79.70,71.20,67.70
9/4/2004,Singapore,Indonesia,2.00,0.00,Singapore,False,No,Win,,,,
9/4/2004,Slovenia,Moldova,3.00,0.00,Slovenia,False,No,Win,71.50,72.00,,
9/4/2004,St. Kitts and Nevis,Trinidad and Tobago,1.00,2.00,St. Kitts and Nevis,False,No,Lose,,,69.00,74.70
9/4/2004,Switzerland,Faroe Islands,6.00,0.00,Switzerland,False,No,Win,80.20,77.00,,
9/4/2004,Turkey,Georgia,1.00,1.00,Turkey,False,No,Draw,75.00,79.30,,
9/4/2004,USA,El Salvador,2.00,0.00,USA,False,No,Win,78.20,80.00,,
9/4/2004,Zambia,Liberia,1.00,0.00,Zambia,False,No,Win,,58.00,,
9/5/2004,Algeria,Gabon,0.00,3.00,Algeria,False,No,Lose,,60.70,,71.70
9/5/2004,Angola,Rwanda,1.00,0.00,Angola,False,No,Win,52.80,77.30,,
9/5/2004,Brazil,Bolivia,3.00,1.00,Brazil,False,No,Win,89.00,92.30,,67.70
9/5/2004,Chile,Colombia,0.00,0.00,Chile,False,No,Draw,,79.30,80.80,78.70
9/5/2004,Congo DR,South Africa,1.00,0.00,Congo DR,False,No,Win,,70.00,75.00,77.30
9/5/2004,Egypt,Cameroon,3.00,2.00,Egypt,False,No,Win,,,81.20,80.30
9/5/2004,Ghana,Cabo Verde,2.00,0.00,Ghana,False,No,Win,77.20,72.70,,
9/5/2004,Guatemala,Costa Rica,2.00,1.00,Guatemala,False,No,Win,,,69.50,72.70
9/5/2004,Guinea,Botswana,4.00,0.00,Guinea,False,No,Win,74.20,67.00,,
9/5/2004,C̫te d'Ivoire,Sudan,5.00,0.00,C̫te d'Ivoire,False,No,Win,73.20,81.00,,
9/5/2004,Mali,Senegal,2.00,2.00,Mali,False,No,Draw,70.50,77.30,71.80,76.30
9/5/2004,Paraguay,Venezuela,1.00,0.00,Paraguay,False,No,Win,74.50,75.00,58.50,
9/5/2004,Togo,Congo,2.00,0.00,Togo,False,No,Win,,67.30,60.80,77.00
9/5/2004,Uruguay,Ecuador,1.00,0.00,Uruguay,False,No,Win,75.50,83.00,64.50,
9/5/2004,Zimbabwe,Nigeria,0.00,3.00,Zimbabwe,False,No,Lose,,,78.20,80.00
9/8/2004,Andorra,Romania,1.00,5.00,Andorra,False,No,Lose,,,77.50,79.00
9/8/2004,Armenia,Finland,0.00,2.00,Armenia,False,No,Lose,,,77.00,78.30
9/8/2004,Austria,Azerbaijan,2.00,0.00,Austria,False,No,Win,76.20,73.00,,
9/8/2004,Bosnia and Herzegovina,Spain,1.00,1.00,Bosnia and Herzegovina,False,No,Draw,72.20,74.30,86.50,89.30
9/8/2004,Costa Rica,Canada,1.00,0.00,Costa Rica,False,No,Win,69.50,72.70,71.80,73.70
9/8/2004,El Salvador,Jamaica,0.00,3.00,El Salvador,False,No,Lose,,,69.20,77.30
9/8/2004,Faroe Islands,France,0.00,2.00,Faroe Islands,False,No,Lose,,,88.00,93.00
9/8/2004,Georgia,Albania,2.00,0.00,Georgia,False,No,Win,,,,59.00
9/8/2004,Germany,Brazil,1.00,1.00,Germany,False,No,Draw,87.50,82.70,89.00,92.30
9/8/2004,Greece,Turkey,0.00,0.00,Greece,False,No,Draw,82.80,83.70,75.00,79.30
